,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,RustMap,C2Rust,,
,,,,,,,,100_doors-c.rs,4,,100_doors,7
,,,,,,,,4_rings_puzzle-c.rs,28,,4_rings_puzzle,6
,,,,,,,,99_bottles_of_beer-c.rs,1,,99_bottles_of_beer,1
,,,,,,,,almost_prime-c.rs,9,,almost_prime,9
,,,,,,,,apply_a_callback_to_an_array-c.rs,12,,apply_a_callback_to_an_array,1
,,,,,,,,approximate_equility-c.rs,0,,approximate_equility,0
,,,,,,,,arithmetic_mean-c.rs,6,,arithmetic_mean,8
,,,,,,,,array_concatenation-c.rs,1,,array_concatenation,1
,,,,,,,,array_length-c.rs,1,,array_length,0
,,,,,,,,attractive_numbers-c.rs,29,,attractive_numbers,29
,,,,,,,,base64_decode_data-c.rs,14,,base64_decode_data,12
,,,,,,,,bell_numbers-c.rs,7,,bell_numbers,7
,,,,,,,,binary_search-c.rs,7,,binary_search,14
,,,,,,,,box_the_compass-c.rs,1,,box_the_compass,1
,,,,,,,,carmichael_3_strong_pseudoprimes-c.rs,32,,carmichael_3_strong_pseudoprimes,31
,,,,,,,,casting_out_nines-c.rs,3,,casting_out_nines,3
,,,,,,,,catalan_numbers-c.rs,10,,catalan_numbers,8
,,,,,,,,catamorphism-c.rs,1,,catamorphism,1
,,,,,,,,chaocipher-c.rs,7,,chaocipher,23
,,,,,,,,character_codes-c.rs,0,,character_codes,0
,,,,,,,,chinese_remainder_theorem-c.rs,5,,chinese_remainder_theorem,5
,,,,,,,,chinese_zodiac-c.rs,3,,chinese_zodiac,3
,,,,,,,,cholesky_decomposition-c.rs,13,,cholesky_decomposition,14
,,,,,,,,circles_of_given_radius_through_two_points-c.rs,13,,circles_of_given_radius_through_two_points,13
,,,,,,,,combinations-c.rs,7,,combinations,7
,,,,,,,,comma_quibbling-c.rs,13,,comma_quibbling,14
,,,,,,,,command_line_arguments-c.rs,1,,command_line_arguments,2
,,,,,,,,compile_time_calculation-c.rs,0,,compile_time_calculation,0
,,,,,,,,count_in_factors-c.rs,38,,count_in_factors,42
,,,,,,,,cramers_rule-c.rs,1,,cramers_rule,29
,,,,,,,,crc32-c.rs,16,,crc32,12
